,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen,location,point,latitude,longitude,altitude
270,LK Vorpommern-Greifswald,135,4,110,"Berufliche EUROPA-Schule des LK VG, Lindenstraße, Binning, Eggesin, Am Stettiner Haff, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17367, Deutschland","(53.678354, 14.0781134, 0.0)",53.678354,14.0781134,0.0
271,LK Vorpommern-Rügen,79,2,72,,,,,
272,LK Vulkaneifel,110,4,87,"Link-Automobile, Vor der Dell, Dockweiler, Daun, Landkreis Vulkaneifel, Rheinland-Pfalz, 54552, Deutschland","(50.2494317, 6.793262, 0.0)",50.2494317,6.793262,0.0
273,LK Waldeck-Frankenberg,143,3,119,"Frankenberg, Landkreis Waldeck-Frankenberg, Hessen, 35066, Deutschland","(51.07226815, 8.771039671994767, 0.0)",51.07226815,8.771039671994767,0.0
274,LK Waldshut,301,35,208,"Waldshut, Waldshut-Tiengen, Verwaltungsgemeinschaft Waldshut-Tiengen, Landkreis Waldshut, Baden-Württemberg, 79761, Deutschland","(47.6246179, 8.2120605, 0.0)",47.6246179,8.2120605,0.0
275,LK Warendorf,458,12,403,"Warendorf, Kreis Warendorf, Nordrhein-Westfalen, 48231, Deutschland","(51.9532449, 7.9912335, 0.0)",51.9532449,7.9912335,0.0
276,LK Wartburgkreis,41,0,34,"Leimbach Lk, B 62, Leimbach, Bad Salzungen, Wartburgkreis, Thüringen, 36433, Deutschland","(50.81979275, 10.186748718925424, 0.0)",50.81979275,10.186748718925424,0.0
277,LK Weilheim-Schongau,321,3,295,"Weilheim in Oberbayern, Landkreis Weilheim-Schongau, Bayern, 82362, Deutschland","(47.8395072, 11.1416355, 0.0)",47.8395072,11.1416355,0.0
278,LK Weimarer Land,68,4,61,,,,,
279,LK Weißenburg-Gunzenhausen,289,12,231,"Kinderwagen Link, Bahnhofstraße, Weißenburg i. Bay., Landkreis Weißenburg-Gunzenhausen, Bayern, 91781, Deutschland","(49.0285061, 10.9700779, 0.0)",49.0285061,10.9700779,0.0
280,LK Werra-Meißner-Kreis,165,12,86,"Werra Meißner Kreis, Domäne Vogelsburg, Eschwege, Werra-Meißner-Kreis, Hessen, 37269, Deutschland","(51.191773600000005, 10.048003345226277, 0.0)",51.191773600000005,10.048003345226277,0.0
281,LK Wesel,509,21,420,"Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland","(51.6576909, 6.617087, 0.0)",51.6576909,6.617087,0.0
282,LK Wesermarsch,51,1,50,"Gewerbegebiet Wesermarsch-Mitte, Petershörne, Ovelgönne, Landkreis Wesermarsch, Niedersachsen, 26939, Deutschland","(53.3271284, 8.425568651285682, 0.0)",53.3271284,8.425568651285682,0.0
283,LK Westerwaldkreis,326,20,274,"Hotel Link, Hauptstraße, Neuhäusel, Montabaur, Westerwaldkreis, Rheinland-Pfalz, 56335, Deutschland","(50.3851392, 7.7113189, 0.0)",50.3851392,7.7113189,0.0
284,LK Wetteraukreis,265,12,213,"Caroline Link, Parkstraße, Bad Nauheim, Wetteraukreis, Hessen, 61231, Deutschland","(50.3652749, 8.7423296, 0.0)",50.3652749,8.7423296,0.0
285,LK Wittenberg,153,3,142,"Wittenberg, Sorgenfri, Lisleby, Fredrikstad, Viken, 1619, Norge","(59.2275114, 10.9738995, 0.0)",59.2275114,10.9738995,0.0
286,LK Wittmund,24,0,23,"Wittmund, Landkreis Wittmund, Niedersachsen, 26409, Deutschland","(53.5792685, 7.7815477, 0.0)",53.5792685,7.7815477,0.0
287,LK Wolfenbüttel,173,9,127,"Wolfenbüttel, Landkreis Wolfenbüttel, Niedersachsen, Deutschland","(52.1625283, 10.5348215, 0.0)",52.1625283,10.5348215,0.0
288,LK Wunsiedel i.Fichtelgebirge,615,36,513,,,,,
289,LK Würzburg,402,6,247,"Würzburg, Bayern, 97070, Deutschland","(49.79245, 9.932966, 0.0)",49.79245,9.932966,0.0
290,LK Zollernalbkreis,1025,59,734,"Architekturbüro Link, Wilhelmstraße, Gemarkung Balingen, Balingen, Gemeindeverwaltungsverband Balingen, Zollernalbkreis, Baden-Württemberg, 72336, Deutschland","(48.2714654, 8.8488819, 0.0)",48.2714654,8.8488819,0.0
291,LK Zwickau,758,34,603,"Zwickau, Sachsen, Deutschland","(50.7185043, 12.4939267, 0.0)",50.7185043,12.4939267,0.0
292,Region Hannover,1853,61,1165,"Region Hannover, Niedersachsen, Deutschland","(52.4026852, 9.801197840611401, 0.0)",52.4026852,9.801197840611401,0.0
293,SK Amberg,67,3,46,"Amberg, Bayern, 92224, Deutschland","(49.4454211, 11.858728, 0.0)",49.4454211,11.858728,0.0
294,SK Ansbach,119,7,68,"Ansbach, Bayern, 91522, Deutschland","(49.3028611, 10.5722288, 0.0)",49.3028611,10.5722288,0.0
295,SK Aschaffenburg,108,1,102,"Aschaffenburg, Bayern, 63739, Deutschland","(49.9740542, 9.1493636, 0.0)",49.9740542,9.1493636,0.0
296,SK Augsburg,362,9,331,"Augsburg, Bayern, Deutschland","(48.3668041, 10.8986971, 0.0)",48.3668041,10.8986971,0.0
297,SK Baden-Baden,174,18,108,"Baden-Baden, Baden-Württemberg, 76530, Deutschland","(48.7580777, 8.2415239, 0.0)",48.7580777,8.2415239,0.0
298,SK Bamberg,182,15,114,"Bamberg, Bayern, 96047, Deutschland","(49.8916044, 10.8868478, 0.0)",49.8916044,10.8868478,0.0
299,SK Bayreuth,188,7,158,"Bayreuth, Bayern, 95444, Deutschland","(49.9427202, 11.5763079, 0.0)",49.9427202,11.5763079,0.0
300,SK Berlin Charlottenburg-Wilmersdorf,671,19,569,"Charlottenburg-Wilmersdorf, Berlin, Deutschland","(52.5078558, 13.2639518, 0.0)",52.5078558,13.2639518,0.0
301,SK Berlin Friedrichshain-Kreuzberg,459,5,408,"Friedrichshain-Kreuzberg, Berlin, Deutschland","(52.5153063, 13.4616117, 0.0)",52.5153063,13.4616117,0.0
302,SK Berlin Lichtenberg,241,7,179,"Berlin-Lichtenberg, Eitelstraße, Weitlingkiez, Rummelsburg, Lichtenberg, 10317, Deutschland","(52.5097832, 13.4961404, 0.0)",52.5097832,13.4961404,0.0
303,SK Berlin Marzahn-Hellersdorf,289,2,225,"Berlin-Marzahn-Hellersdorf, Marzahn-Hellersdorf, Deutschland","(52.522464049999996, 13.58538383097715, 0.0)",52.522464049999996,13.58538383097715,0.0
304,SK Berlin Mitte,861,10,744,"Berlin-Mitte, Berliner Ring, Cité Joffre, Wedding, Mitte, 13405, Deutschland","(52.53321645, 13.359795660679708, 0.0)",52.53321645,13.359795660679708,0.0
305,SK Berlin Neukölln,631,21,528,"Berlin-Neukölln, Neukölln, Deutschland","(52.4454318, 13.44345982737298, 0.0)",52.4454318,13.44345982737298,0.0
306,SK Berlin Pankow,602,19,478,"Pankow, Berlin, Deutschland","(52.597636699999995, 13.436373975411648, 0.0)",52.597636699999995,13.436373975411648,0.0
307,SK Berlin Reinickendorf,451,20,352,"Berlin-Reinickendorf, Reinickendorf, Deutschland","(52.60484685, 13.288141469652064, 0.0)",52.60484685,13.288141469652064,0.0
308,SK Berlin Spandau,237,6,192,"Berlin-Spandau, Am Bahnhof Spandau, Spandau, 13597, Deutschland","(52.5347694, 13.1956287, 0.0)",52.5347694,13.1956287,0.0
309,SK Berlin Steglitz-Zehlendorf,485,12,406,"Berlin-Steglitz-Zehlendorf, Steglitz-Zehlendorf, Deutschland","(52.429591, 13.242024327857692, 0.0)",52.429591,13.242024327857692,0.0
310,SK Berlin Tempelhof-Schöneberg,586,18,499,"Berlin-Tempelhof-Schöneberg, Tempelhof-Schöneberg, Berlin, Deutschland","(52.4404422, 13.388288723500661, 0.0)",52.4404422,13.388288723500661,0.0
311,SK Berlin Treptow-Köpenick,306,8,257,"Berlin-Treptow-Köpenick, Treptow-Köpenick, Deutschland","(52.4179881, 13.626402590326276, 0.0)",52.4179881,13.626402590326276,0.0
312,SK Bielefeld,380,3,218,"Bielefeld, Nordrhein-Westfalen, Deutschland","(52.0191005, 8.531007, 0.0)",52.0191005,8.531007,0.0
313,SK Bochum,427,16,385,"Bochum, Nordrhein-Westfalen, Deutschland","(51.4818111, 7.2196635, 0.0)",51.4818111,7.2196635,0.0
314,SK Bonn,648,6,546,"Bonn, Nordrhein-Westfalen, 53111, Deutschland","(50.735851, 7.10066, 0.0)",50.735851,7.10066,0.0
315,SK Bottrop,146,6,97,"Bottrop, Nordrhein-Westfalen, 46236, Deutschland","(51.521581, 6.929204, 0.0)",51.521581,6.929204,0.0
316,SK Brandenburg a.d.Havel,55,0,46,"Brandenburg an der Havel, Brandenburg, Deutschland","(52.4108261, 12.5497933, 0.0)",52.4108261,12.5497933,0.0
317,SK Braunschweig,300,13,263,"Braunschweig, Niedersachsen, Deutschland","(52.2646577, 10.5236066, 0.0)",52.2646577,10.5236066,0.0
318,SK Bremen,776,29,493,"Bremen, Deutschland","(53.0758196, 8.8071646, 0.0)",53.0758196,8.8071646,0.0
319,SK Bremerhaven,49,0,27,"Bremerhaven, Bremen, Deutschland","(53.5522264, 8.5865509, 0.0)",53.5522264,8.5865509,0.0
320,SK Chemnitz,192,5,155,"Chemnitz, Sachsen, 09111, Deutschland","(50.8322608, 12.9252977, 0.0)",50.8322608,12.9252977,0.0
321,SK Coburg,52,0,42,"Coburg, Bayern, 96450, Deutschland","(50.258112, 10.964463, 0.0)",50.258112,10.964463,0.0
322,SK Cottbus,39,0,37,"Cottbus - Chóśebuz, Brandenburg, 03046, Deutschland","(51.7567447, 14.3357307, 0.0)",51.7567447,14.3357307,0.0
323,SK Darmstadt,198,11,131,"Darmstadt, Hessen, 64283, Deutschland","(49.872775, 8.651177, 0.0)",49.872775,8.651177,0.0
324,SK Delmenhorst,45,2,31,"Delmenhorst, Niedersachsen, 27749, Deutschland","(53.048095, 8.6286066, 0.0)",53.048095,8.6286066,0.0
325,SK Dessau-Roßlau,65,1,37,"Dessau-Roßlau, Sachsen-Anhalt, Deutschland","(51.8311104, 12.2429261, 0.0)",51.8311104,12.2429261,0.0
326,SK Dortmund,676,6,599,"Dortmund, Nordrhein-Westfalen, 44135, Deutschland","(51.5142273, 7.4652789, 0.0)",51.5142273,7.4652789,0.0
327,SK Dresden,507,6,451,"Dresden, Sachsen, 01069, Deutschland","(51.0493286, 13.7381437, 0.0)",51.0493286,13.7381437,0.0
328,SK Duisburg,848,20,635,"Duisburg, Nordrhein-Westfalen, 47049, Deutschland","(51.434999, 6.759562, 0.0)",51.434999,6.759562,0.0
329,SK Düsseldorf,1027,24,681,"Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland","(51.2254018, 6.7763137, 0.0)",51.2254018,6.7763137,0.0
330,SK Eisenach,21,1,12,"Eisenach, Thüringen, 99817, Deutschland","(50.9833, 10.3166999, 0.0)",50.9833,10.3166999,0.0
331,SK Emden,16,0,16,"Emden, Niedersachsen, 26721, Deutschland","(53.3670541, 7.2058304, 0.0)",53.3670541,7.2058304,0.0
332,SK Erfurt,133,2,123,"Erfurt, Thüringen, 99084, Deutschland","(50.9777974, 11.0287364, 0.0)",50.9777974,11.0287364,0.0
333,SK Erlangen,233,6,201,"Erlangen, Bayern, 91052, Deutschland","(49.5981187, 11.003645, 0.0)",49.5981187,11.003645,0.0
334,SK Essen,727,32,446,"Essen, Nordrhein-Westfalen, Deutschland","(51.4582235, 7.0158171, 0.0)",51.4582235,7.0158171,0.0
335,SK Flensburg,33,2,31,"Flensburg, Schleswig-Holstein, 24937, Deutschland","(54.7833021, 9.4333264, 0.0)",54.7833021,9.4333264,0.0
336,SK Frankenthal,41,2,31,"Frankenthal (Pfalz), Rheinland-Pfalz, 67227, Deutschland","(49.5445804, 8.3540061, 0.0)",49.5445804,8.3540061,0.0
337,SK Frankfurt (Oder),27,0,24,"Frankfurt (Oder), Brandenburg, 15230, Deutschland","(52.3412273, 14.549452, 0.0)",52.3412273,14.549452,0.0
338,SK Frankfurt am Main,1259,40,939,"Frankfurt am Main, Hessen, Deutschland","(50.1106444, 8.6820917, 0.0)",50.1106444,8.6820917,0.0
339,SK Freiburg i.Breisgau,937,66,787,"Freiburg im Breisgau, Baden-Württemberg, Deutschland","(47.9960901, 7.8494005, 0.0)",47.9960901,7.8494005,0.0
340,SK Fürth,327,28,211,"Fürth, Bayern, 90762, Deutschland","(49.477263, 10.989616, 0.0)",49.477263,10.989616,0.0
341,SK Gelsenkirchen,335,10,264,"Gelsenkirchen, Nordrhein-Westfalen, Deutschland","(51.5110321, 7.0960124, 0.0)",51.5110321,7.0960124,0.0
342,SK Gera,151,5,79,"Gera, Thüringen, Deutschland","(50.8772301, 12.0796208, 0.0)",50.8772301,12.0796208,0.0
343,SK Hagen,249,6,163,"Hagen, Census Division No. 15, Saskatchewan, Canada","(52.9384012, -105.5594903, 0.0)",52.9384012,-105.5594903,0.0
344,SK Halle,322,9,260,"Halle (Saale), Sachsen-Anhalt, 06108, Deutschland","(51.4825041, 11.9705452, 0.0)",51.4825041,11.9705452,0.0
345,SK Hamburg,4557,154,3514,"Hamburg, Deutschland","(53.5437641, 10.0099133, 0.0)",53.5437641,10.0099133,0.0
346,SK Hamm,442,31,333,"Hamm, Nordrhein-Westfalen, 59065, Deutschland","(51.6804093, 7.815197, 0.0)",51.6804093,7.815197,0.0
347,SK Heidelberg,279,6,246,"Heidelberg, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724,0.0
348,SK Heilbronn,410,13,246,"Heilbronn, Baden-Württemberg, 74072, Deutschland","(49.142291, 9.218655, 0.0)",49.142291,9.218655,0.0
349,SK Herne,162,1,109,"Herne, Nordrhein-Westfalen, 44623, Deutschland","(51.5380394, 7.219985, 0.0)",51.5380394,7.219985,0.0
350,SK Hof,102,4,88,"Hof, Bayern, 95028, Deutschland","(50.3219015, 11.9178807, 0.0)",50.3219015,11.9178807,0.0
351,SK Ingolstadt,396,25,317,"Ingolstadt, Bayern, 85057, Deutschland","(48.7630165, 11.4250395, 0.0)",48.7630165,11.4250395,0.0
352,SK Jena,158,3,151,"Jena, Štefana Moyzesa, Prievidza, okres Prievidza, Trenčianský kraj, Západné Slovensko, 97101, Slovensko","(48.77264, 18.6226788, 0.0)",48.77264,18.6226788,0.0
353,SK Kaiserslautern,117,3,86,"Kaiserslautern, Rheinland-Pfalz, 67655, Deutschland","(49.4432174, 7.7689951, 0.0)",49.4432174,7.7689951,0.0
354,SK Karlsruhe,351,6,294,"Karlsruhe, Baden-Württemberg, Deutschland","(49.0068705, 8.4034195, 0.0)",49.0068705,8.4034195,0.0
355,SK Kassel,257,6,180,"Kassel, Hessen, 34117, Deutschland","(51.3154546, 9.4924096, 0.0)",51.3154546,9.4924096,0.0
356,SK Kaufbeuren,99,4,81,"Kaufbeuren, Bayern, 87600, Deutschland","(47.8803788, 10.622246, 0.0)",47.8803788,10.622246,0.0
357,SK Kempten,101,9,86,"Kempten (Allgäu), Bayern, 87435, Deutschland","(47.7267063, 10.3168835, 0.0)",47.7267063,10.3168835,0.0
358,SK Kiel,263,9,210,"Kiel, Schleswig-Holstein, 24103, Deutschland","(54.3227085, 10.135555, 0.0)",54.3227085,10.135555,0.0
359,SK Koblenz,255,17,186,"SK Koblenz, An der Fähre, Metternich, Koblenz, Rheinland-Pfalz, 56072, Deutschland","(50.3574054, 7.559892, 0.0)",50.3574054,7.559892,0.0
360,SK Krefeld,496,18,358,"Krefeld, Nordrhein-Westfalen, 47798, Deutschland","(51.3331205, 6.5623343, 0.0)",51.3331205,6.5623343,0.0
361,SK Köln,2269,85,1979,"Köln, Nordrhein-Westfalen, Deutschland","(50.938361, 6.959974, 0.0)",50.938361,6.959974,0.0
362,SK Landau i.d.Pfalz,56,0,50,"Landau in der Pfalz, Rheinland-Pfalz, 76829, Deutschland","(49.1982825, 8.1123441, 0.0)",49.1982825,8.1123441,0.0
363,SK Landshut,267,9,209,"Landshut, Bayern, Deutschland","(48.536217, 12.1516551, 0.0)",48.536217,12.1516551,0.0
364,SK Leipzig,564,6,433,"Leipzig, Census Division No. 13, Saskatchewan, Canada","(52.1857124, -108.6748325, 0.0)",52.1857124,-108.6748325,0.0
365,SK Leverkusen,196,4,178,"Leverkusen, Nordrhein-Westfalen, 51373, Deutschland","(51.0324743, 6.9881194, 0.0)",51.0324743,6.9881194,0.0
366,SK Ludwigshafen,268,2,227,"Ludwigshafen am Rhein, Rheinland-Pfalz, 67061, Deutschland","(49.4704113, 8.4381568, 0.0)",49.4704113,8.4381568,0.0
367,SK Lübeck,161,1,152,"Lübeck, Schleswig-Holstein, 23552, Deutschland","(53.866444, 10.684738, 0.0)",53.866444,10.684738,0.0
368,SK Magdeburg,104,1,100,"Magdeburg, Sachsen-Anhalt, Deutschland","(52.1315889, 11.6399609, 0.0)",52.1315889,11.6399609,0.0
369,SK Mainz,504,16,376,"Mainz, Rheinland-Pfalz, 55116, Deutschland","(50.0012314, 8.2762513, 0.0)",50.0012314,8.2762513,0.0
370,SK Mannheim,440,10,337,"Mannheim, Baden-Württemberg, 68161, Deutschland","(49.489591, 8.467236, 0.0)",49.489591,8.467236,0.0
371,SK Memmingen,49,0,44,"Memmingen, Bayern, 87700, Deutschland","(47.9867696, 10.181319, 0.0)",47.9867696,10.181319,0.0
372,SK Mönchengladbach,483,35,378,"Mönchengladbach, Nordrhein-Westfalen, 41061, Deutschland","(51.1946983, 6.4353641, 0.0)",51.1946983,6.4353641,0.0
373,SK Mülheim a.d.Ruhr,170,6,139,"Mülheim an der Ruhr, Nordrhein-Westfalen, Deutschland","(51.4272925, 6.8829192, 0.0)",51.4272925,6.8829192,0.0
374,SK München,5618,103,4227,"München, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822,0.0
375,SK Münster,635,13,567,"Muenster, Census Division No. 15, Saskatchewan, Canada","(52.1938312, -104.9936857, 0.0)",52.1938312,-104.9936857,0.0
376,SK Neumünster,66,1,49,"Neumünster, Schleswig-Holstein, 24534, Deutschland","(54.0757442, 9.9815377, 0.0)",54.0757442,9.9815377,0.0
377,SK Neustadt a.d.Weinstraße,92,1,87,"Neustadt an der Weinstraße, Rheinland-Pfalz, Deutschland","(49.3484885, 8.116060540695802, 0.0)",49.3484885,8.116060540695802,0.0
378,SK Nürnberg,925,30,650,"Nürnberg, Bayern, Deutschland","(49.453872, 11.077298, 0.0)",49.453872,11.077298,0.0
379,SK Oberhausen,188,1,162,"Oberhausen, Nordrhein-Westfalen, 46045, Deutschland","(51.4696137, 6.8514435, 0.0)",51.4696137,6.8514435,0.0
380,SK Offenbach,94,7,65,"Offenbach am Main, Hessen, 63065, Deutschland","(50.1055002, 8.7610698, 0.0)",50.1055002,8.7610698,0.0
381,SK Oldenburg,160,1,150,"Oldenburg, Niedersachsen, 26122, Deutschland","(53.1389753, 8.2146017, 0.0)",53.1389753,8.2146017,0.0
382,SK Osnabrück,437,12,406,"Osnabrück, Niedersachsen, 49074, Deutschland","(52.266837, 8.049741, 0.0)",52.266837,8.049741,0.0
383,SK Passau,123,16,99,"Passau, Bayern, 94032, Deutschland","(48.5748229, 13.4609744, 0.0)",48.5748229,13.4609744,0.0
384,SK Pforzheim,267,4,105,"Pforzheim, Baden-Württemberg, 75175, Deutschland","(48.8908846, 8.7029532, 0.0)",48.8908846,8.7029532,0.0
385,SK Pirmasens,30,0,27,"Pirmasens, Rheinland-Pfalz, 66953, Deutschland","(49.1996961, 7.6087847, 0.0)",49.1996961,7.6087847,0.0
386,SK Potsdam,583,39,439,"Potsdam, Brandenburg, Deutschland","(52.4009309, 13.0591397, 0.0)",52.4009309,13.0591397,0.0
387,SK Regensburg,410,5,354,"Regensburg, Bayern, 93047, Deutschland","(49.0195333, 12.0974869, 0.0)",49.0195333,12.0974869,0.0
388,SK Remscheid,213,14,142,"Remscheid, Nordrhein-Westfalen, 42853, Deutschland","(51.1798706, 7.1943544, 0.0)",51.1798706,7.1943544,0.0
389,SK Rosenheim,427,18,164,"Ružinov, Bratislava, Bratislavský kraj, Slovensko","(48.143488500000004, 17.16070216871738, 0.0)",48.143488500000004,17.16070216871738,0.0
390,SK Rostock,75,2,73,"Rostock, Mecklenburg-Vorpommern, Deutschland","(54.0924445, 12.1286127, 0.0)",54.0924445,12.1286127,0.0
391,SK Salzgitter,128,6,100,"Salzgitter, Niedersachsen, 38226, Deutschland","(52.1503721, 10.3593147, 0.0)",52.1503721,10.3593147,0.0
392,SK Schwabach,74,1,66,"Schwabach, Bayern, 91126, Deutschland","(49.3346915, 11.029413917830473, 0.0)",49.3346915,11.029413917830473,0.0
393,SK Schweinfurt,163,16,111,"Schweinfurt, Bayern, 97421, Deutschland","(50.0499945, 10.233302, 0.0)",50.0499945,10.233302,0.0
394,SK Schwerin,90,0,88,"Schwerin, Mecklenburg-Vorpommern, Deutschland","(53.6288297, 11.4148038, 0.0)",53.6288297,11.4148038,0.0
395,SK Solingen,226,7,193,"Solingen, Nordrhein-Westfalen, 42651, Deutschland","(51.1712468, 7.0838996, 0.0)",51.1712468,7.0838996,0.0
396,SK Speyer,74,0,55,"Speyer, Rheinland-Pfalz, 67346, Deutschland","(49.3165553, 8.433615, 0.0)",49.3165553,8.433615,0.0
397,SK Straubing,368,33,242,"Straubing, Bayern, 94315, Deutschland","(48.8819801, 12.569716, 0.0)",48.8819801,12.569716,0.0
398,SK Stuttgart,1314,50,1097,"Stuttgart, Baden-Württemberg, Deutschland","(48.7784485, 9.1800132, 0.0)",48.7784485,9.1800132,0.0
399,SK Suhl,13,2,10,"Suhl, Thüringen, 98527, Deutschland","(50.6086518, 10.6926437, 0.0)",50.6086518,10.6926437,0.0
400,SK Trier,97,1,92,"Trier, Rheinland-Pfalz, 54290, Deutschland","(49.7596208, 6.6441878, 0.0)",49.7596208,6.6441878,0.0
401,SK Ulm,252,4,168,"Ulm, Baden-Württemberg, Deutschland","(48.3974003, 9.9934336, 0.0)",48.3974003,9.9934336,0.0
402,SK Weiden i.d.OPf.,292,11,228,"Weiden in der Oberpfalz, Bayern, 92637, Deutschland","(49.6752749, 12.1631636, 0.0)",49.6752749,12.1631636,0.0
403,SK Weimar,61,0,57,"Weimar, Thüringen, 99423, Deutschland","(50.9802813, 11.3290855, 0.0)",50.9802813,11.3290855,0.0
404,SK Wiesbaden,311,10,261,"Wiesbaden, Hessen, 65183, Deutschland","(50.0820384, 8.2416556, 0.0)",50.0820384,8.2416556,0.0
405,SK Wilhelmshaven,19,1,14,"Wilhelmshaven, Niedersachsen, 26382, Deutschland","(53.5278793, 8.106301, 0.0)",53.5278793,8.106301,0.0
406,SK Wolfsburg,283,50,211,"Vlčí vrch, okres Bratislava III, Bratislava, Bratislavský kraj, 831 52, Slovensko","(48.2116735, 17.0925913, 0.0)",48.2116735,17.0925913,0.0
407,SK Worms,182,7,147,"Worms, Rheinland-Pfalz, 67547, Deutschland","(49.6302618, 8.3620898, 0.0)",49.6302618,8.3620898,0.0
408,SK Wuppertal,802,62,518,"Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","(51.264018, 7.1780374, 0.0)",51.264018,7.1780374,0.0
409,SK Würzburg,457,49,271,"Würzburg, Bayern, 97070, Deutschland","(49.79245, 9.932966, 0.0)",49.79245,9.932966,0.0
410,SK Zweibrücken,35,0,32,"Zweibrücken, Rheinland-Pfalz, 66482, Deutschland","(49.2535955, 7.370627437376278, 0.0)",49.2535955,7.370627437376278,0.0
411,StadtRegion Aachen,1863,82,1579,,,,,
